Character,Experience,HP Increase,MP Increase,SP Increase,Strength Increase,Vitality Increase,Action Increase,Movement Increase,Magic Increase,Mentality Increase,Skillslot Increase
Mareg,92,16,0,1,1,1,0,0,1,0,0
Mareg,140,19,0,1,1,1,1,1,1,1,0
Mareg,202,22,1,2,1,1,0,0,0,0,0
Mareg,281,25,1,1,1,1,1,0,1,0,0
Mareg,379,29,1,1,1,1,0,1,1,1,0
Mareg,496,32,1,2,2,1,1,1,1,1,0
Mareg,634,35,1,2,2,2,0,0,1,1,1
Mareg,798,39,1,2,2,2,0,0,1,1,0
Mareg,991,41,2,2,3,2,0,1,1,1,0
Mareg,1213,44,1,2,2,2,1,1,1,1,0
Mareg,1479,47,1,2,2,3,0,0,1,1,0
Mareg,1794,50,1,3,2,2,0,0,1,1,0
Mareg,2159,53,1,3,3,2,0,0,1,1,0
Mareg,2584,55,1,3,3,3,0,0,2,1,0
Mareg,3064,58,1,3,3,3,1,0,1,1,0
Mareg,3604,61,1,3,3,3,0,1,2,1,0
Mareg,4200,62,2,3,4,3,0,1,1,2,1
Mareg,4864,65,2,3,3,3,0,1,2,2,0
Mareg,5587,67,2,4,3,3,1,1,2,2,0
Mareg,6385,69,2,4,4,3,0,0,1,1,0
Mareg,7254,71,2,4,4,3,0,0,1,2,0
Mareg,8205,73,2,4,4,4,0,1,2,2,0
Mareg,9236,76,2,5,4,3,0,0,2,2,0
Mareg,10364,78,2,4,4,3,0,1,2,2,0
Mareg,11604,79,2,4,5,3,0,0,2,2,0
Mareg,12961,80,3,4,4,4,0,0,2,2,0
Mareg,14453,82,2,5,5,4,1,0,2,2,1
Mareg,16079,84,2,4,4,4,1,0,2,2,0
Mareg,17859,85,2,5,4,4,1,1,2,2,0
Mareg,19808,86,2,5,5,4,1,0,2,2,0
Mareg,21903,88,2,5,5,4,1,1,2,3,0
Mareg,24144,89,2,5,5,4,1,0,2,2,0
Mareg,26530,91,2,5,5,4,1,0,3,3,0
Mareg,29047,91,2,5,5,4,1,0,2,2,0
Mareg,31677,93,3,5,5,4,0,0,2,2,0
Mareg,34438,93,2,5,5,4,1,1,2,2,0
Mareg,37309,94,2,6,5,4,0,1,2,2,1
Mareg,40280,95,2,6,5,4,1,1,2,3,0
Mareg,43340,95,2,6,5,4,0,0,2,2,0
Mareg,46507,96,2,5,5,4,1,1,2,3,0
Mareg,49800,96,2,5,5,4,1,0,2,2,0
Mareg,53274,97,2,5,5,5,0,1,2,3,0
Mareg,56973,97,3,6,6,4,0,0,3,2,0
Mareg,60893,97,2,5,6,5,0,0,3,2,0
Mareg,65087,98,2,5,5,4,0,0,2,2,0
Mareg,69637,98,2,5,5,4,0,0,2,3,0
Mareg,74642,98,2,6,5,4,0,1,2,2,1
Mareg,80197,98,2,6,5,4,1,1,2,3,0
Mareg,86418,97,2,5,6,4,0,1,3,2,0
Mareg,93416,97,3,5,5,4,0,0,2,2,0
Mareg,101253,98,3,5,5,5,0,0,3,3,0
Mareg,110187,97,2,5,5,4,1,0,2,3,0
Mareg,120461,96,3,6,5,4,0,0,3,2,0
Mareg,132481,96,2,5,5,5,1,1,2,2,0
Mareg,146424,96,3,5,5,4,1,1,3,2,0
Mareg,162876,95,2,5,5,4,0,1,2,3,0
Mareg,181960,94,2,5,5,4,0,0,3,2,1
Mareg,204383,93,2,5,5,4,0,0,2,3,0
Mareg,231178,92,3,5,5,4,0,0,2,2,0
Mareg,263332,91,3,5,5,4,1,1,2,2,0
Mareg,301756,90,2,5,5,5,0,0,2,3,0
Mareg,347864,89,3,5,5,5,1,0,2,2,0
Mareg,402963,88,2,5,4,4,0,0,2,2,0
Mareg,468415,86,2,5,5,4,1,0,2,2,0
Mareg,533950,85,2,5,4,4,1,0,2,2,0
Mareg,599485,84,2,4,4,4,1,0,2,2,0
Mareg,665020,82,2,4,4,4,0,1,2,2,0
Mareg,730555,81,2,4,4,4,0,1,2,2,0
Mareg,796090,79,3,4,4,3,1,1,2,2,0
Mareg,861625,77,2,4,4,3,0,0,2,2,0
Mareg,927160,75,2,4,4,3,0,1,2,2,0
Mareg,992695,73,2,4,4,3,0,0,2,2,0
Mareg,1058230,72,2,4,4,3,1,0,1,2,0
Mareg,1123765,69,2,4,3,4,1,1,1,2,0
Mareg,1189300,67,2,4,3,3,1,0,2,1,0
Mareg,1254835,65,2,4,3,3,0,1,1,1,0
Mareg,1320370,62,2,3,3,3,0,1,1,1,0
Mareg,1385905,60,1,3,3,3,0,0,1,1,0
Mareg,1451440,58,1,3,3,3,0,1,2,1,0
Mareg,1516975,56,1,3,3,2,1,0,1,1,0
Mareg,1582510,52,1,3,3,3,1,0,2,1,0
Mareg,1648045,50,2,3,3,2,0,0,1,1,0
Mareg,1713580,47,1,2,3,3,0,1,1,2,0
Mareg,1779115,45,1,2,2,2,0,0,1,1,0
Mareg,1844650,42,1,2,2,2,1,0,1,1,0
Mareg,1910185,38,1,3,2,2,0,0,1,1,0
Mareg,1975720,36,1,2,2,2,0,0,1,1,0
Mareg,2041255,32,1,2,2,1,0,0,1,1,0
Mareg,2106790,29,1,1,1,1,0,0,1,1,0
Mareg,2172325,25,1,1,2,1,0,1,0,0,0
Mareg,2237860,22,0,2,1,1,1,1,0,0,0
Mareg,2303395,18,0,1,1,1,0,0,0,1,0
Mareg,2368930,15,0,1,1,1,1,0,0,0,0
Mareg,2434465,11,0,1,1,0,1,0,1,0,0
Mareg,2500000,8,1,0,0,1,1,0,0,0,0
Prince Roan,0,175,62,65,80,55,98,79,71,74,0
Prince Roan,12,2,0,1,1,0,0,0,0,1,0
Prince Roan,30,4,0,0,0,1,1,0,0,0,0
Prince Roan,56,5,0,0,0,1,1,0,0,0,0
Prince Roan,92,7,0,0,1,1,0,0,0,0,0
Prince Roan,140,9,1,1,1,1,1,0,1,1,0
Prince Roan,202,11,1,1,1,1,0,0,1,1,0
Prince Roan,281,12,1,1,2,1,1,0,1,1,0
Prince Roan,379,14,1,1,1,1,0,0,1,1,0
Prince Roan,496,15,1,1,1,1,0,0,2,1,0
Prince Roan,634,17,1,1,1,1,0,0,1,1,1
Prince Roan,798,18,1,1,2,2,0,0,2,1,0
Prince Roan,991,20,2,2,2,1,1,0,1,2,0
Prince Roan,1213,21,2,1,2,1,1,1,2,2,0
Prince Roan,1479,23,1,2,2,2,1,0,2,2,0
Prince Roan,1794,24,2,2,2,1,0,1,2,2,0
Prince Roan,2159,25,2,2,3,1,0,0,2,3,0
Prince Roan,2584,26,2,2,2,2,0,0,2,3,0
Prince Roan,3064,28,2,2,2,2,0,1,2,3,0
Prince Roan,3604,29,2,2,2,2,1,0,3,3,0
Prince Roan,4200,30,2,2,3,2,0,0,2,2,1
Prince Roan,4864,32,2,2,3,2,0,1,2,2,0
Prince Roan,5587,32,2,2,3,2,0,0,2,3,0
Prince Roan,6385,33,3,2,3,3,1,0,3,3,0
Prince Roan,7254,34,3,2,4,2,1,1,3,3,0
Prince Roan,8205,35,2,2,4,2,1,0,3,3,0
Prince Roan,9236,37,2,2,4,2,1,0,3,3,0
Prince Roan,10364,37,2,3,3,2,1,0,3,3,0
Prince Roan,11604,38,2,3,3,2,1,0,3,3,0
Prince Roan,12961,39,3,3,3,2,1,0,3,3,0
Prince Roan,14453,39,3,3,3,3,1,0,3,4,1
Prince Roan,16079,40,3,3,3,2,1,0,3,3,0
Prince Roan,17859,41,3,3,3,2,1,1,3,3,0
Prince Roan,19808,42,3,3,4,2,1,1,3,3,0
Prince Roan,21903,42,3,4,4,2,1,1,4,3,0
Prince Roan,24144,43,3,3,4,2,1,1,3,3,0
Prince Roan,26530,43,3,3,4,3,1,1,3,3,0
Prince Roan,29047,44,3,3,4,3,1,1,4,3,0
Prince Roan,31677,44,3,3,4,3,1,1,3,4,0
Prince Roan,34438,45,3,4,4,3,1,1,3,4,0
Prince Roan,37309,46,4,3,4,3,1,1,3,4,1
Prince Roan,40280,45,3,3,4,3,1,1,3,4,0
Prince Roan,43340,46,4,3,4,3,1,1,3,4,0
Prince Roan,46507,47,3,4,4,3,1,1,4,4,0
Prince Roan,49800,46,3,3,4,3,1,1,4,4,0
Prince Roan,53274,47,3,3,4,3,1,1,4,4,0
Prince Roan,56973,47,3,4,4,3,1,1,4,4,0
Prince Roan,60893,47,3,4,4,3,1,1,4,4,0
Prince Roan,65087,47,3,3,4,3,1,1,4,4,0
Prince Roan,69637,48,4,3,4,3,1,1,4,4,0
Prince Roan,74642,48,3,4,4,3,1,1,4,4,1
Prince Roan,80197,48,3,3,4,3,1,1,4,4,0
Prince Roan,86418,47,3,4,4,3,1,1,4,4,0
Prince Roan,93416,47,4,3,4,3,1,1,4,4,0
Prince Roan,101253,47,3,3,4,3,1,1,4,4,0
Prince Roan,110187,46,3,4,4,3,1,1,4,4,0
Prince Roan,120461,46,3,3,4,3,1,1,4,4,0
Prince Roan,132481,47,3,3,4,3,1,1,4,4,0
Prince Roan,146424,46,3,3,4,3,1,1,3,4,0
Prince Roan,162876,45,3,4,4,3,1,1,3,4,0
Prince Roan,181960,45,3,3,4,3,1,1,3,4,1
Prince Roan,204383,45,3,3,4,3,1,1,4,4,0
Prince Roan,231178,45,3,3,4,3,1,1,3,3,0
Prince Roan,263332,44,3,3,4,3,1,1,4,3,0
Prince Roan,301756,43,3,3,4,3,1,1,4,3,0
Prince Roan,347864,43,3,3,4,2,1,1,3,4,0
Prince Roan,402963,42,3,3,4,2,1,1,3,4,0
Prince Roan,468415,42,3,3,4,2,1,1,3,3,0
Prince Roan,533950,41,3,3,3,2,1,1,3,4,0
Prince Roan,599485,40,3,3,3,2,1,1,3,3,0
Prince Roan,665020,39,3,3,3,2,1,0,3,3,0
Prince Roan,730555,39,3,3,3,3,1,1,3,3,0
Prince Roan,796090,38,2,3,3,2,1,1,3,3,0
Prince Roan,861625,38,3,3,4,2,1,0,3,3,0
Prince Roan,927160,36,3,2,3,2,1,0,3,3,0
Prince Roan,992695,35,3,2,4,2,1,0,3,3,0
Prince Roan,1058230,34,2,2,3,2,1,1,3,3,0
Prince Roan,1123765,33,2,3,3,2,1,0,3,3,0
Prince Roan,1189300,32,3,2,3,2,0,0,2,3,0
Prince Roan,1254835,32,2,3,3,2,0,0,3,2,0
Prince Roan,1320370,30,3,2,3,2,0,0,2,2,0
Prince Roan,1385905,29,2,2,3,2,0,0,2,3,0
Prince Roan,1451440,28,2,2,2,2,0,0,2,2,0
Prince Roan,1516975,26,2,2,2,2,0,0,2,3,0
Prince Roan,1582510,25,2,2,3,2,0,0,2,2,0
Prince Roan,1648045,24,2,2,2,1,0,0,2,2,0
Prince Roan,1713580,23,1,2,2,2,1,0,2,2,0
Prince Roan,1779115,22,1,2,2,1,0,0,2,2,0
Prince Roan,1844650,20,1,1,2,1,0,0,1,2,0
Prince Roan,1910185,18,1,2,2,1,0,0,1,1,0
Prince Roan,1975720,17,2,2,1,1,1,0,1,1,0
Prince Roan,2041255,16,1,1,1,1,0,0,2,1,0
Prince Roan,2106790,14,1,1,1,1,0,0,1,2,0
Prince Roan,2172325,12,1,1,1,1,0,0,1,1,0
Prince Roan,2237860,11,1,1,1,1,0,0,1,1,0
Prince Roan,2303395,9,1,1,1,1,1,1,1,1,0
Prince Roan,2368930,8,1,0,1,0,0,0,0,0,0
Prince Roan,2434465,5,0,0,0,0,1,0,0,0,0
Prince Roan,2500000,4,0,0,1,0,1,1,0,0,0
